Business Name,Last Updated,Address,Materials Accepted
New York City Bulk Item Curbside Program,N/A,"New York, NY 10001","Dehumidifiers, Humidifiers, Air Conditioners, Barbeque Grills, Carpet, Carpet Padding, Dishwashers"
IMobile LLC,N/A,"(212) 967-9725, 370 7th Ave, New York, NY 10001","Cell Phone Accessories, Cell Phones"
The 4th Bin,N/A,"(646) 747-5985, 307 7th Ave, New York, NY 10001","Cell Phones, Desktop Computers, Inkjet Cartridges, LCD Computer Monitors, LCD Televisions, MP3 Players, Toner Cartridges"
Sprint Store,N/A,"(212) 695-6006, 126 W 34th St, New York, NY 10001","Cell Phone Accessories, Cell Phones"
Willoughby's,N/A,"(212) 564-1600, 298 5th Ave, New York, NY 10001","Cell Phones, Desktop Computers, Game Consoles, MP3 Players, Telephones, Lithium-ion Batteries, Nickel-cadmium Batteries"
Cartridge World,N/A,"(212) 414-8406, 225 West 23rd Street, New York, NY 10011","Inkjet Cartridges, Toner Cartridges"
ProTek Recycling Inc.,N/A,"(978) 621-4358, 276 5th Avenue, New York, NY 10001","Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
Tekserve,N/A,"(212) 929-3645, 119 W 23rd St, New York, NY 10011","Desktop Computers, LCD Computer Monitors, Office Machines"
Staples,N/A,"(212) 244-2681, 500 8th Avenue, New York, NY 10018","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Cartridge World,N/A,"(212) 777-6600, 155 West 35th Street, New York, NY 10001","Inkjet Cartridges, Toner Cartridges"
Home Depot,N/A,"(212) 929-9571, 40 W 23rd St, New York, NY 10010","Cell Phones, Car Batteries, CFLs, Lead-acid Batteries - Non-automotive, Lithium-ion Batteries, Nickel-cadmium Batteries"
Staples,N/A,"(212) 683-8009, 16 East 34th Street, New York, NY 10016","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Sprint Store,N/A,"(212) 780-5600, 175 5th Ave, New York, NY 10010","Cell Phone Accessories, Cell Phones"
Staples,N/A,"(212) 462-2959, 641 Avenue of the Americas, New York, NY 10011","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Staples,N/A,"(212) 221-3517, 442 5th Avenue, New York, NY 10018","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Radius Recycling,N/A,"(646) 278-9714, 11 Times Square, New York, NY 10036","Cell Phones, Computer Peripherals - External, Computer Peripherals - Internal, Desktop Computers, Game Consoles, Hard Drives, Home Electronics"
Central Iron and Metal,N/A,"(212) 947-2985, 505 W 27th St, New York, NY 10001","Cables, Aluminum Scrap, Brass, Cookware, Copper, Ferrous Metals, Garden Tools"
Staples Copy and Print Shop,N/A,"(212) 254-0487, 315 Park Avenue South, New York, NY 10010","Inkjet Cartridges, Toner Cartridges, Lead-acid Batteries - Non-automotive, Lithium-ion Batteries, Nickel-cadmium Batteries, Nickel-metal Hydride Batteries, Nickel-zinc Batteries"
Staples,N/A,"(212) 697-2615, 261 Madison Ave, New York, NY 10016","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Sprint Store,N/A,"(212) 730-4727, 57 W 42nd St, New York, NY 10036","Cell Phone Accessories, Cell Phones"
Best Buy,N/A,"(212) 808-0309, 529 5th Ave, New York, NY 10017","Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
"Mobile City NY, LLC",N/A,"(212) 582-7000, 606 9th Ave, New York, NY 10036","Cell Phone Accessories, Cell Phones"
Staples,N/A,"(212) 255-4687, 116 W 14th St, New York, NY 10011","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
IMobile LLC,N/A,"(212) 229-9900, 39 W 14th St, New York, NY 10011","Cell Phone Accessories, Cell Phones"
Best Buy,N/A,"(212) 466-4789, 52 E 14th St, New York, NY 10003","Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
"The Phone Center, Inc",N/A,"(212) 460-5600, 232 3rd Ave, New York, NY 10010","Cell Phone Accessories, Cell Phones"
Staples,N/A,"(212) 265-4550, 776 8th Avenue, Manhattan, NY 10036","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Staples,N/A,"(212) 929-6323, 5-9 Union Square West, New York, NY 10003","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Staples,N/A,"(212) 687-3219, 675 3rd Avenue, New York, NY 10017","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Sprint Store,N/A,"(212) 645-0252, 403 6th Ave, New York, NY 10014","Cell Phone Accessories, Cell Phones"
Staples,N/A,"(212) 673-1090, 390 Avenue of the Americas, New York, NY 10011","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Computer Recycling Services,N/A,"(877) 337-8782, Manhattan, NY 10003","Cell Phones, Desktop Computers, Office Machines, Telephones, Toner Cartridges"
Staples,N/A,"(646) 654-6660, 769 Broadway, Manhattan, NY 10003","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Staples Copy and Print Shop,N/A,"(212) 956-9210, 1755 Broadway, Manhattan, NY 10019","Inkjet Cartridges, Toner Cartridges, Lead-acid Batteries - Non-automotive, Lithium-ion Batteries, Nickel-cadmium Batteries, Nickel-metal Hydride Batteries, Nickel-zinc Batteries"
Cartridge World,N/A,"(212) 308-1465, 153 East 53rd Street, New York, NY 10022","Inkjet Cartridges, Toner Cartridges"
Staples,N/A,"(212) 753-9640, 425 Park Avenue, New York, NY 10022","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Sprint Store,N/A,"(212) 826-0727, 677 Lexington Ave, New York, NY 10022","Cell Phone Accessories, Cell Phones"
Best Buy,N/A,"(212) 673-4067, 622 Broadway, New York, NY 10012","Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
Home Depot,N/A,"(212) 888-1512, 980 3rd Ave, New York, NY 10022","Cell Phones, Car Batteries, CFLs, Lead-acid Batteries - Non-automotive, Lithium-ion Batteries, Nickel-cadmium Batteries"
IMobile LLC,N/A,"(212) 750-6666, 1149 2nd Ave, New York, NY 10022","Cell Phone Accessories, Cell Phones"
Sprint Store,N/A,"1048 Third Ave, New York, NY 10065","Cell Phone Accessories, Cell Phones"
Project For Empty Space,N/A,"(608) 698-6355, 137 Attorney St, New York, NY 10002","Electronic Servers, Brush, Tools"
Cartridge World,N/A,"(201) 795-2377, 401 Bloomfield Street, Hoboken, NJ 07030","Inkjet Cartridges, Toner Cartridges"
PS 199 Cell phone and electronics recycling drive,N/A,"(212) 799-1033, 270 West 70th Street, New York, NY 10023","Cell Phones, Game Consoles, Inkjet Cartridges, MP3 Players, Toner Cartridges"
P.S. 199 Jessie Isador Straus,N/A,"(212) 799-1033, 270 W 70th St, New York, NY 10023","CDs, Cell Phones, Desktop Computers, Game Consoles, Inkjet Cartridges, MP3 Players"
IMobile LLC,N/A,"(212) 580-0510, 267 Amsterdam Ave, New York, NY 10023","Cell Phone Accessories, Cell Phones"
Hoboken Department of Public Works - Electronic Waste Drop-off Site,N/A,"1-800-540-0987, 256 Observer Highway, Hoboken, NJ 07030","Audio Equipment, Cables, Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, CRT Televisions"
Henry Curbside Electronics Recycling,N/A,"(646) 739-4013, 17 Ludlow St, New York, NY 10002","Cell Phones, Desktop Computers, Game Consoles, MP3 Players, Office Machines"
Wireless Ritz,N/A,"(718) 609-0600, 817 Manhattan Ave, Brooklyn, NY 11222","Cell Phone Accessories, Cell Phones"
Guardian Data Destruction,N/A,"(888) 556-9473, 52-15 11th St, Queens, NY 11101","Desktop Computers, Game Consoles, LCD Computer Monitors, LCD Televisions, MP3 Players, Office Machines, Telephones"
Union City Department of Public Works - Electronic Waste Drop-off Site,N/A,"1-800-540-0987, 410 - 27th Street, Union City, NJ 07087","Audio Equipment, Cables, Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, CRT Televisions"
Staples,N/A,"(201) 217-9900, 613 Washington Boulevard, Jersey City, NJ 07310","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Target Store,N/A,"(201) 499-0017, 100 14th St, Jersey City, NJ 07310","Cell Phones, Inkjet Cartridges, MP3 Players, #2 Plastic Bags, #4 Plastic Bags"
Staples,N/A,"(212) 712-9617, 2248 Broadway, New York, NY 10024","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Sims Metal Management,N/A,"(718) 786-6031, 30-27 Greenpoint Avenue, Long Island City, NY 11101","Dehumidifiers, Humidifiers, Air Conditioners, Aluminum Beverage Cans, Aluminum Food Cans, Aluminum Lids, Aluminum Scrap"
Best Buy,N/A,"(201) 792-8399, 125 18th St, Jersey City, NJ 07310","Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
J&R Music World,N/A,"(212) 238-9600, 23 Park Row, New York, NY 10038","Cell Phones, Desktop Computers, Game Consoles, MP3 Players, Telephones, Lithium-ion Batteries, Nickel-cadmium Batteries"
Staples,N/A,"(212) 346-9624, 217 Broadway, New York, NY 10007","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
IMobile LLC,N/A,"(212) 362-5005, 2284 Broadway, New York, NY 10024","Cell Phone Accessories, Cell Phones"
Staples,N/A,"(212) 346-9624, 217 Broadway, New York, NY 10007","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Allocco Recycling Ltd,N/A,"(718) 349-3094, 540 Kingsland Avenue, Brooklyn, NY 11222","Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
"Arjay Telecommunications, Inc.",N/A,"(201) 876-4700, 30 Mall Dr W, Jersey City, NJ 07310","Cell Phone Accessories, Cell Phones"
Home Depot,N/A,"(201) 963-6513, 180 12th St, Jersey City, NJ 07310","Cell Phones, Car Batteries, CFLs, Lead-acid Batteries - Non-automotive, Lithium-ion Batteries, Nickel-cadmium Batteries"
Sprint Store,N/A,"(212) 233-5727, 170 Broadway, New York, NY 10038","Cell Phone Accessories, Cell Phones"
Sprint Store,N/A,"(212) 348-6340, 169 E 86th St, New York, NY 10128","Cell Phone Accessories, Cell Phones"
West New York Department of Public Works - Electronic Waste Drop-off Site,N/A,"1-800-540-0987, 6200 Broadway, West New York, NJ 07093","Audio Equipment, Cables, Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, CRT Televisions"
Sprint Store,N/A,"(201) 865-6490, 3101 John F Kennedy Blvd W, North Bergen, NJ 07047","Cell Phone Accessories, Cell Phones"
Best Buy,N/A,"(917) 492-8870, 1280 Lexington Ave, New York, NY 10028","Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
Asd,N/A,"(212) 508-0700, 120 E 87th St, New York, NY 10128","Cell Phone Accessories, #5 Plastic Clamshells, #6 Plastic Peanuts, Auto Bodies, Car Batteries, Innertubes"
Staples,N/A,"(201) 863-6700, 3113 John F Kennedy Boulevard West, Union City, NJ 07087","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
Staples,N/A,"(212) 426-6190, 1280 Lexington Avenue, New York, NY 10028","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
"The Phone Center, Inc",N/A,"(212) 269-7100, 120 Water St, New York, NY 10005","Cell Phone Accessories, Cell Phones"
Advanced Cellular Solutions,N/A,"(888) 563-1340, 52-14 34th St, Long Island City, NY 11101","Audio Equipment, Cables, Cell Phone Accessories, Cell Phones, Computer Peripherals - External, Desktop Computers, Digital Cameras"
Hudson County Household Hazardous Waste Collection Program,N/A,"(201) 795-4555, Jersey City, NJ 07302","Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
Staples,N/A,"(718) 388-3447, 535 Morgan Avenue, Brooklyn, NY 11222","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
"NYC SAFE (Solvents, Automotive, Flammable, Electronics) Disposal Event - Manhattan",N/A,"(646) 885-4830, New York, NY 10029","Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
P.C.S. Superstore Inc,N/A,"(646) 896-1101, 2590 Broadway, New York, NY 10025","Cell Phone Accessories, Cell Phones"
Wireless Ritz,N/A,"(718) 388-0100, 755 Grand St, Brooklyn, NY 11211","Cell Phone Accessories, Cell Phones"
IMobile LLC,N/A,"(718) 722-7979, 147 Montague St, Brooklyn, NY 11201","Cell Phone Accessories, Cell Phones"
North Bergen MUA - Electronic Waste Drop-off Site,N/A,"1-800-540-0987, 6200 Tonnelle Avenue, North Bergen, NJ 07047","Audio Equipment, Cables, Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, CRT Televisions"
TNT Scrap Metal,N/A,"(718) 366-4017, 340 Maspeth Ave, Brooklyn, NY 11211","Cables, Desktop Computers, Laptop Computers, Aluminum Scrap, Auto Parts, Bicycles, Brass"
"Morgen Industries, Inc.",N/A,"(201) 223-0072, 701 Penhorn Ave, Secaucus, NJ 07094","Cell Phones, Desktop Computers, LCD Computer Monitors, LCD Televisions, Office Machines, Telephones, Toner Cartridges"
Redwood Materials (located inside at Rad Power Bikes),N/A,"(347) 795-0320, Rad Power Bikes, 25 Kent Ave., Brooklyn, NY 11249","Cell Phones, Digital Cameras, Game Consoles, GPS Systems, Home Electronics, Hoverboards, Laptop Computers"
eRecycleNY,N/A,"(718) 622-3540, 65 Emerson Place, Brooklyn, NY 11205","Cell Phones, Desktop Computers, Game Consoles, LCD Computer Monitors, LCD Televisions, Office Machines, Telephones"
P.C.S. Superstore Inc,N/A,"(718) 855-0100, 395 Jay St, Brooklyn, NY 11201","Cell Phone Accessories, Cell Phones"
Home Depot,N/A,"(201) 271-1200, 1055 Paterson Plank Rd, Secaucus, NJ 07094","Cell Phones, Car Batteries, CFLs, Lead-acid Batteries - Non-automotive, Lithium-ion Batteries, Nickel-cadmium Batteries"
Secaucus Department of Public Works - Electronic Waste Drop-off Site,N/A,"1-800-540-0987, 370 Secaucus Road, Secaucus, NJ 07094","Audio Equipment, Cables, Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, CRT Televisions"
Sprint Store,N/A,"(718) 237-2155, 456 Fulton St, Brooklyn, NY 11201","Cell Phone Accessories, Cell Phones"
The Customer Center LLC,N/A,"(201) 536-1500, 2831 John F Kennedy Blvd W, Jersey City, NJ 07306","Cell Phone Accessories, Cell Phones"
"Mobile City NY, LLC",N/A,"(212) 864-6900, 2803 Broadway, New York, NY 10025","Cell Phone Accessories, Cell Phones"
Target Store,N/A,"(201) 520-1701, 7101 Tonnelle Ave, North Bergen, NJ 07047","Cell Phones, Inkjet Cartridges, MP3 Players, #2 Plastic Bags, #4 Plastic Bags"
1-800-GOT-JUNK?,N/A,"(201) 865-5865, 100 Dorigo Lane, Unit F, Secaucus, NJ 07094","Cassette Tapes, CDs, Cell Phones, Desktop Computers, Floppy Disks, Game Consoles, Inkjet Cartridges"
Sprint Store,N/A,"(718) 777-6504, 30-30 Steinway St, Astoria, NY 11103","Cell Phone Accessories, Cell Phones"
Home Depot,N/A,"(201) 868-8125, 7605 Tonnelle Ave, North Bergen, NJ 07047","Cell Phones, Car Batteries, CFLs, Lead-acid Batteries - Non-automotive, Lithium-ion Batteries, Nickel-cadmium Batteries"
Home Depot,N/A,"(718) 278-9031, 50-10 Northern Blvd, Queens, NY 11101","Cell Phones, Car Batteries, CFLs, Lead-acid Batteries - Non-automotive, Lithium-ion Batteries, Nickel-cadmium Batteries"
Best Buy,N/A,"(718) 626-7585, 5001 Northern Blvd, Queens, NY 11101","Audio Equipment, Blu-Ray Players, Boomboxes, Cables, Calculators, Cassette Players, CD Players"
Out of the Closet Thrift Store,N/A,"(718) 637-2955, 475 Atlantic Ave, Brooklyn, NY 11217","CDs, Cell Phones, Desktop Computers, LCD Computer Monitors, Bicycles, Clothing, Eyeglasses"
Staples,N/A,"(718) 932-0315, 24-41 31st Street, Queens, NY 11102","Cell Phone Accessories, Cell Phones, Computer Peripherals - External, CRT Computer Monitors, Desktop Computers, Digital Cameras, GPS Systems"
- Big Sky Recycling -,N/A,"971-200-5141, 3860 SE Naef Rd #68025, Portland, OR 97267","Cell Phones, MP3 Players, Tablets"
- iPhone Antidote -,N/A,"888-333-0635, 4040 Civic Center Drive, Suite 200, San Rafael, CA 94903","Cell Phone Accessories, Cell Phones, Laptop Computers, MP3 Players, Tablets"
Ace Recycling Inc.,N/A,"(260) 456-0512, 219 MURRAY STREET, Fort Wayne, IN 46803","Cell Phones, Inkjet Cartridges, Toner Cartridges"
"AM Exclusive Business Machines, Inc.",N/A,"(718)-845-2828, 79-63 77th Ave, Glendale, NY 11385","Inkjet Cartridges, Toner Cartridges"
American Foundation for Children with AIDS,N/A,"(717) 489-0206, 6221 Blue Grass Ave, Harrisburg, PA 17112",Medical Equipment - Large
Apple Recycling Program,N/A,"(408) 862-2667, Cupertino, CA 95014","Cell Phones, Desktop Computers, Laptop Computers, LCD Computer Monitors, MP3 Players, Tablets"
